capture_artist_project_title,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12
"MOLOKO - ALL BACK TO THE MINE: VOL, 1: A COLLECTION OF REMIXES",12,13,4,1,2,6,5,3,8,5,4,1
"EMERSON, LAKE & PALMER - THE ANTHOLOGY",63,66,37,23,19,28,7,8,7,8,9,6
GOOD HARVEST - IN A LIFE AND PLACE LIKE THIS,80,12,9,10,7,1,7,4,2,4,4,4
VARIOUS ARTISTS - SALSOUL: THE CLUB REMIXES,84,29,10,12,8,14,7,8,5,4,9,5
WHITE LIES - FRIENDS,551,134,65,52,49,42,36,31,25,24,41,40
MADEINTYO - TRUE'S WORLD,828,204,111,48,43,47,22,24,18,11,11,16
MANDO DIAO - GOOD TIMES,1273,528,214,172,110,90,137,102,106,66,35,33
MORRISSEY - LOW IN HIGH SCHOOL,5941,836,477,259,281,260,194,144,149,137,118,104
"SONDASCHULE - SCHERE, STEIN, PAPIER (AKUSTIK ALBUM)",110,24,10,13,4,9,8,5,5,6,7,1
BLACK SABBATH - THE ULTIMATE COLLECTION,448,159,128,107,72,75,53,41,63,83,74,91
THE DEVIL WEARS PRADA - TRANSIT BLUES,2251,468,245,189,125,112,80,68,63,48,51,121
TINA DICO - FASTLAND,353,93,55,50,35,17,21,28,15,159,26,21
RICHARD CLAYDERMAN - STAGE MUSICAL FAVOURITES,8,9,1,4,5,6,4,4,2,4,5,1
VARIOUS ARTISTS - READY STEADY GO - THE SIXTIES,66,32,12,4,12,11,4,5,2,1,2,5
MIKE LOVE - REASON FOR THE SEASON,37,84,26,21,200,62,34,34,33,3,2,2
MAYER HAWTHORNE - MAN ABOUT TOWN,11,5,12,9,16,12,9,7,14,16,10,11
RAINHARD FENDRICH - SCHWARZODERWEISS,1143,312,268,179,121,92,80,50,70,42,46,173
CEZARY SKUBISZEWSKI - PICNIC AT HANGING ROCK,6,3,2,3,1,6,1,3,2,3,10,3
RSO - MAKING HISTORY,690,144,97,67,44,43,34,29,69,29,28,21
LE SOLDAT ROSE - LE SOLDAT ROSE à LA FABRIQUE DE JOUETS,133,51,44,54,60,31,16,8,6,10,7,16
"SONDASCHULE - SCHERE, STEIN, PAPIER",503,108,61,61,46,30,29,33,37,39,17,14
VARIOUS ARTISTS - SIR MICHAEL PARKINSON / OUR KIND OF MUSIC / THE GREAT AMERICAN SONGBOOK,141,70,24,12,59,7,5,2,4,1,1,7
NAKHANE - YOU WILL NOT DIE,14,16,13,6,8,3,1,9,10,8,4,3
MEMPHIS MAY FIRE - BROKEN,1221,249,95,107,90,81,81,61,70,67,63,39
NICK CAVE & THE BAD SEEDS - LOVELY CREATURES - THE BEST OF NICK CAVE AND THE BAD SEEDS (1984-2014),1091,332,179,149,143,102,117,108,84,53,50,59
LINDSAY ELL - THE CONTINUUM PROJECT,600,247,170,108,77,59,68,49,42,36,30,30
MADNESS - FULL HOUSE - THE VERY BEST OF MADNESS,337,192,76,36,36,83,53,25,50,46,52,32
BRING ME THE HORIZON - 2004 - 2013,20,8,9,5,5,4,6,6,4,4,6,6
KONTRA K - ERDE & KNOCHEN,6514,1411,913,661,617,556,526,391,309,246,299,285
DMA'S - FOR NOW,118,28,10,8,8,9,4,6,7,6,5,3
CHRIS ISAAK - CHRIS ISAAK CHRISTMAS LIVE ON SOUNDSTAGE,39,16,25,36,46,41,108,9,4,3,1,1
"EMERSON, LAKE & PALMER - WORKS VOLUME 2",155,16,8,7,10,11,5,7,10,4,4,3
KONTRA K - GUTE NACHT,8461,1712,994,635,492,516,613,394,484,394,280,297
MAYDAY PARADE - SUNNYLAND,1842,360,196,139,99,106,98,104,78,64,64,52
CAMO & KROOKED - MOSAIK,690,170,92,63,44,58,46,37,30,42,45,38
MICHAEL MCDONALD - SEASON OF PEACE - THE CHRISTMAS COLLECTION,51,16,15,11,15,68,73,183,120,220,134,7
MAKE THEM SUFFER - WORLDS APART,822,175,96,69,51,35,28,23,39,22,24,27
WATERS - SOMETHING MORE!,123,28,33,32,17,15,16,10,6,3,2,1
A PERFECT CIRCLE - EAT THE ELEPHANT,26241,4943,2349,1512,1165,976,813,770,707,623,472,415
RICHARD CLAYDERMAN - MOVIE FAVOURITES,23,8,18,7,13,9,9,8,7,6,8,4
"MAX GIESINGER - DER JUNGE, DER RENNT",14,42,78,83,119,131,106,93,93,79,93,87
"JENNIFER WARNES - ANOTHER TIME, ANOTHER PLACE",119,80,32,17,11,20,15,11,18,16,5,13
LINA - OFFICIAL,1,12,11,15,17,21,19,18,17,15,5,5
JIMMIE ALLEN - MERCURY LANE,764,397,268,362,257,297,222,174,153,193,223,130
TAKE ME TO RIO COLLECTIVE - TAKE ME TO RIO,362,272,201,66,29,28,21,16,15,8,3,4
THE MOVIELIFE - CITIES IN SEARCH OF A HEART,289,40,9,7,4,9,7,6,7,1,4,5
HERCULES & LOVE AFFAIR - OMNION,320,72,42,22,8,15,13,15,8,15,13,22
THE KINKS - THE KINK KONTROVERSY,94,12,5,7,8,3,3,3,5,4,2,3
CLARE BOWEN - CLARE BOWEN,269,54,30,15,10,4,6,4,7,8,4,2
MIDGE URE - ORCHESTRATED,1197,217,142,116,107,124,153,325,218,87,47,33
OF MICE & MEN - COLD WORLD,6088,963,553,407,314,239,193,369,135,119,120,91
BIG K.R.I.T. - 4EVA IS A MIGHTY LONG TIME,11510,3206,1563,1702,721,430,406,309,352,310,228,174
THE KINKS - FACE TO FACE,150,15,4,3,9,3,6,2,9,4,6,7
NICKI & FREDDI / THE SIXTIES - KU'DAMM 59,958,472,138,92,56,28,45,22,13,11,11,13
ALABAMA - AMERICAN CHRISTMAS,204,47,52,79,76,97,241,313,212,177,158,152
TOM MORELLO - THE ATLAS UNDERGROUND,357,64,29,28,16,13,14,22,11,5,8,10
"EMERSON, LAKE & PALMER - WELCOME BACK MY FRIENDS TO THE SHOW THAT NEVER ENDS - LADIES AND GENTLEMEN",159,26,10,14,9,5,6,11,9,22,29,13
GONE IS GONE - ECHOLOCATION,557,158,74,71,39,23,30,26,23,12,15,13
MIKE + THE MECHANICS - MIKE + THE MECHANICS (M6),1,1,2,2,2,3,1,6,5,7,8,3
KYLIE MINOGUE - GOLDEN,14053,3179,2012,1306,860,622,405,500,353,440,611,448
CHAPEL - SUNDAY BRUNCH,134,27,57,34,17,38,20,16,10,9,12,7
HOT WATER MUSIC - FOREVER AND COUNTING - EXPANDED EDITION,1,7,6,4,6,5,3,6,3,2,4,7
ERASURE - SINGLES - EBX3,43,12,6,7,5,5,10,10,11,6,7,12
JOAN ARMATRADING - NOT TOO FAR AWAY,754,245,121,87,67,63,50,49,41,24,15,12
IRON MAIDEN - FLIGHT 666,16,12,16,9,6,5,3,11,7,8,4,6
311 - MOSAIC,6064,1490,722,470,405,311,279,215,198,161,119,108
"EMERSON, LAKE & PALMER - PICTURES AT AN EXHIBITION",136,59,21,18,9,15,11,13,19,19,11,10
DAVID CROSBY - HERE IF YOU LISTEN,720,175,106,106,61,49,70,42,52,41,32,34
RSO - RADIO FREE AMERICA,249,69,33,26,16,23,20,23,10,23,16,15
"EMERSON, LAKE & PALMER - TARKUS",35,18,12,9,11,15,6,12,25,16,13,18
BLESSTHEFALL - HARD FEELINGS,1774,380,179,144,86,97,79,89,60,47,43,60
FRANCESCO GABBANI - MAGELLAN,418,142,90,61,38,50,41,43,31,29,37,35
LENNY KRAVITZ - RAISE VIBRATION,11521,2478,1229,1310,607,669,381,415,280,247,198,165
PARMALEE - PARTY PACK,171,36,24,16,13,6,13,8,5,14,11,6
PRETENDERS - ALONE,1173,398,230,156,148,125,99,92,75,88,70,45
DRENGE - AUTONOMY,67,9,6,10,4,1,4,3,3,3,5,4
PARMALEE - 27861,23,43,42,41,35,39,28,43,31,18,17,16
HOT WATER MUSIC - FUEL FOR THE HATE GAME - EXPANDED EDITION,6,10,9,7,8,5,7,6,8,1,6,9
VARIOUS ARTISTS - EXTEND THE 80S - GROOVE,13,7,8,6,9,5,3,5,4,1,8,6
MEMPHIS MAY FIRE - THIS LIGHT I HOLD,2818,623,334,232,172,164,128,128,250,149,143,121
BLINDWISH - GOOD EXCUSES,79,12,3,3,3,1,1,1,1,2,1,2
LE SOLDAT ROSE - LE SOLDAT ROSE 2,3,2,3,4,3,6,2,2,1,2,2,7
"PVRIS - ALL WE KNOW OF HEAVEN, ALL WE NEED OF HELL",6321,903,522,403,406,351,336,241,256,181,189,168
ALICE IN CHAINS - RAINIER FOG,10007,2283,1165,737,529,375,375,311,293,281,294,219
SCARFACE - DEEPLY ROOTED: THE LOST FILES,1593,418,192,135,84,42,83,48,28,32,33,27
ERASURE - SINGLES – EBX6,70,19,8,6,2,6,12,5,2,3,4,5
BILLY TALENT - AFRAID OF HEIGHTS,313,203,105,76,79,84,76,43,42,46,32,33
